"feature","diff"
"border",-0.0964418704604168
"support",-0.122848135314364
"enforcement",-0.122078529000514
"homeland",-0.172426813675157
"economy",0.25398614504981
"tax",0.239117744016321
"something",0.237473781025303
"economic",0.28083547634937
"services",-0.0900622217327637
"aliens",-0.210448388898759
"criminal",-0.101771070735876
"borders",-0.112177161838405
"taxes",0.316057697533952
"spending",0.323226812662746
"seen",0.23151353598714
"ice",-0.0905180424570316
"patrol",-0.1974041757999
"created",0.241892933637846
"trillion",0.337897001812484
"provides",-0.0933727607428397
"visas",-0.0956081496958733
"looking",0.24175989974815
